id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Newark Liberty International Airport, 0.464655
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Dot-com bubble, 0.456045
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Humid subtropical climate, 0.451628
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, City, 0.449255
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, World, 0.447629
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Philadelphia, 0.445206
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Proposal, 0.438196
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Hudson River, 0.437459
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Port Authority of New York and New Jersey, 0.437109
 KWtXwy6gOVs0I2xNXjtx4W89uu55tihFJ3X-qdT8oWdtxunPsqqnET25eVSuQ34g, United States, 1, Jaypee Infratech: SC asks Jaiprakash Associates to provide fund raising plan to IRP  IBBI  IDBI Bank & AG  Real Estate News  ET RealEstate, IN, 2017-10-24T01:48:00Z, realty.economictimes.indiatimes.com, -0.655562, Supreme Court of the United States, 0.967495
 KWtXwy6gOVs0I2xNXjtx4W89uu55tihFJ3X-qdT8oWdtxunPsqqnET25eVSuQ34g, United States, 1, Jaypee Infratech: SC asks Jaiprakash Associates to provide fund raising plan to IRP  IBBI  IDBI Bank & AG  Real Estate News  ET RealEstate, IN, 2017-10-24T01:48:00Z, realty.economictimes.indiatimes.com, -0.655562, Bankruptcy, 0.826077
 KWtXwy6gOVs0I2xNXjtx4W89uu55tihFJ3X-qdT8oWdtxunPsqqnET25eVSuQ34g, United States, 1, Jaypee Infratech: SC asks Jaiprakash Associates to provide fund raising plan to IRP  IBBI  IDBI Bank & AG  Real Estate News  ET RealEstate, IN, 2017-10-24T01:48:00Z, realty.economictimes.indiatimes.com, -0.655562, Insolvency, 0.822392
 KWtXwy6gOVs0I2xNXjtx4W89uu55tihFJ3X-qdT8oWdtxunPsqqnET25eVSuQ34g, United States, 1, Jaypee Infratech: SC asks Jaiprakash Associates to provide fund raising plan to IRP  IBBI  IDBI Bank & AG  Real Estate News  ET RealEstate, IN, 2017-10-24T01:48:00Z, realty.economictimes.indiatimes.com, -0.655562, Court, 0.792444
 KWtXwy6gOVs0I2xNXjtx4W89uu55tihFJ3X-qdT8oWdtxunPsqqnET25eVSuQ34g, United States, 1, Jaypee Infratech: SC asks Jaiprakash Associates to provide fund raising plan to IRP  IBBI  IDBI Bank & AG  Real Estate News  ET RealEstate, IN, 2017-10-24T01:48:00Z, realty.economictimes.indiatimes.com, -0.655562, Delhi, 0.782572
 KWtXwy6gOVs0I2xNXjtx4W89uu55tihFJ3X-qdT8oWdtxunPsqqnET25eVSuQ34g, United States, 1, Jaypee Infratech: SC asks Jaiprakash Associates to provide fund raising plan to IRP  IBBI  IDBI Bank & AG  Real Estate News  ET RealEstate, IN, 2017-10-24T01:48:00Z, realty.economictimes.indiatimes.com, -0.655562, Default, 0.775427
